Uid,Sentiment
24737,positive,0.991,0.009
32463,negative,0.34,0.66
14285,positive,0.502,0.498
13927,positive,0.592,0.408
21509,positive,0.972,0.028
22161,positive,0.663,0.337
18004,negative,0.139,0.861
28463,positive,0.979,0.021
13282,positive,0.859,0.141
19105,positive,0.64,0.36
23974,positive,0.757,0.243
3851,positive,0.912,0.088
24590,positive,0.959,0.041
11679,positive,0.989,0.011
27775,positive,0.599,0.401
14497,negative,0.104,0.896
15189,negative,0.129,0.871
36296,positive,0.982,0.018
31574,positive,0.934,0.066
42713,positive,0.976,0.024
28789,positive,0.993,0.007
4778,positive,0.979,0.021
43308,positive,0.801,0.199
7173,negative,0.171,0.829
64,positive,0.819,0.181
14537,positive,0.746,0.254
25586,negative,0.2,0.8
21198,negative,0.437,0.563
20152,negative,0.282,0.718
13342,positive,0.951,0.049
14705,positive,0.967,0.033
37177,negative,0.16,0.84
15993,positive,0.982,0.018
15302,positive,0.884,0.116
30890,negative,0.167,0.833
26317,positive,0.509,0.491
40358,positive,0.994,0.006
24618,positive,0.954,0.046
32466,positive,0.988,0.012
14266,positive,0.973,0.027
17601,negative,0.459,0.541
33238,positive,0.917,0.083
10367,positive,0.832,0.168
18699,positive,0.973,0.027
36185,positive,0.991,0.009
23027,positive,0.784,0.216
25706,positive,0.918,0.082
9764,negative,0.39,0.61
8468,positive,0.945,0.055
23410,positive,0.839,0.161
7426,positive,0.942,0.058
16648,negative,0.47,0.53
24261,positive,0.985,0.015
21032,negative,0.26,0.74
13308,positive,0.555,0.445
16246,positive,0.923,0.077
43527,positive,0.981,0.019
36746,positive,0.648,0.352
6090,positive,0.974,0.026
27482,positive,0.956,0.044
32452,positive,0.963,0.037
32036,positive,0.967,0.033
13510,positive,0.974,0.026
36358,negative,0.442,0.558
22733,negative,0.179,0.821
15277,positive,0.988,0.012
24189,positive,0.611,0.389
22781,positive,0.789,0.211
29188,positive,0.576,0.424
13116,positive,0.884,0.116
25470,positive,0.837,0.163
16098,positive,0.531,0.469
1271,negative,0.408,0.592
19000,negative,0.404,0.596
27795,positive,0.982,0.018
18881,positive,0.987,0.013
14522,positive,0.991,0.009
8921,positive,0.81,0.19
36632,positive,0.989,0.011
16501,positive,0.858,0.142
17990,positive,0.904,0.096
34400,positive,0.99,0.01
36328,negative,0.361,0.639
15966,positive,0.985,0.015
24337,positive,0.547,0.453
1025,negative,0.201,0.799
26861,positive,0.948,0.052
32093,positive,0.965,0.035
37920,positive,0.936,0.064
22476,positive,0.955,0.045
44939,negative,0.157,0.843
32803,positive,0.804,0.196
38314,positive,0.967,0.033
23729,positive,0.978,0.022
9524,positive,0.973,0.027
16574,negative,0.207,0.793
22272,positive,0.937,0.063
44551,positive,0.95,0.05
14142,positive,0.981,0.019
4578,negative,0.387,0.613
21950,positive,0.902,0.098
5825,positive,0.945,0.055
11662,positive,0.543,0.457
13231,negative,0.362,0.638
13597,positive,0.634,0.366
25345,negative,0.404,0.596
17253,positive,0.977,0.023
27444,positive,0.905,0.095
38338,positive,0.982,0.018
44956,positive,0.922,0.078
20458,positive,0.884,0.116
38700,positive,0.968,0.032
13265,positive,0.958,0.042
12415,positive,0.933,0.067
13307,positive,0.851,0.149
44393,positive,0.97,0.03
21311,positive,0.887,0.113
19139,positive,0.889,0.111
12538,positive,0.918,0.082
30178,positive,0.885,0.115
34633,positive,0.604,0.396
38785,positive,0.909,0.091
37114,negative,0.372,0.628
19837,negative,0.497,0.503
35253,negative,0.329,0.671
16892,positive,0.897,0.103
29711,positive,0.585,0.415
12541,positive,0.798,0.202
19266,positive,0.968,0.032
11976,positive,0.818,0.182
44663,positive,0.992,0.008
18913,positive,0.93,0.07
5395,positive,0.978,0.022
19047,negative,0.323,0.677
27751,positive,0.912,0.088
28865,negative,0.243,0.757
30262,positive,0.946,0.054
16620,positive,0.982,0.018
28368,positive,0.99,0.01
25509,negative,0.094,0.906
16598,positive,0.902,0.098
6881,negative,0.436,0.564
7236,positive,0.684,0.316
43131,positive,0.949,0.051
7044,positive,0.989,0.011
