264183816548130816	15140428	0	12	objective
264183816548130816	15140428	13	13	positive
263405084770172928	591166521	0	2	objective
263405084770172928	591166521	3	4	negative
263405084770172928	591166521	5	13	objective
262163168678248449	35266263	0	0	objective
262163168678248449	35266263	1	1	negative
262163168678248449	35266263	2	6	objective
262163168678248449	35266263	7	9	negative
262163168678248449	35266263	10	15	objective
264249301910310912	18516728	0	5	objective
264249301910310912	18516728	6	7	negative
264249301910310912	18516728	8	21	objective
262682041215234048	254373818	0	13	objective
262682041215234048	254373818	14	16	negative
262682041215234048	254373818	17	20	objective
264229576773861376	518129399	0	13	objective
264105751826538497	147088367	0	8	objective
264105751826538497	147088367	9	9	positive
264105751826538497	147088367	10	11	objective
264105751826538497	147088367	12	13	positive
264105751826538497	147088367	14	14	objective
264105751826538497	147088367	15	15	positive
264105751826538497	147088367	16	18	objective
264105751826538497	147088367	19	19	negative
264105751826538497	147088367	20	23	objective
264094586689953794	332474633	0	19	objective
264094586689953794	332474633	20	22	negative
212392538055778304	274996324	0	16	objective
254941790757601280	557103111	0	1	objective
254941790757601280	557103111	2	2	positive
254941790757601280	557103111	3	3	objective
254941790757601280	557103111	4	4	positive
254941790757601280	557103111	5	8	objective
254941790757601280	557103111	9	10	negative
254941790757601280	557103111	11	12	objective
254941790757601280	557103111	13	15	negative
254941790757601280	557103111	16	20	objective
264169034155696130	382403760	0	15	objective
263192091700654080	344222239	0	19	objective
263398998675693568	812957996	0	3	objective
263398998675693568	812957996	4	4	neutral
263398998675693568	812957996	5	18	objective
263398998675693568	812957996	19	19	positive
263650552167157762	224845471	0	2	objective
263650552167157762	224845471	3	3	positive
263650552167157762	224845471	4	7	objective
263650552167157762	224845471	8	8	positive
263650552167157762	224845471	9	12	objective
263650552167157762	224845471	13	17	positive
263650552167157762	224845471	18	18	objective
260200142420992000	332530284	0	18	objective
264087629237202944	61903760	0	1	objective
264087629237202944	61903760	2	3	negative
264087629237202944	61903760	4	19	objective
264087629237202944	61903760	20	21	positive
264087629237202944	61903760	22	26	objective
250692636330049538	29023839	0	6	objective
250692636330049538	29023839	7	7	negative
250692636330049538	29023839	8	16	objective
250692636330049538	29023839	17	17	positive
250692636330049538	29023839	18	24	objective
263304719471087617	564843841	0	1	objective
263304719471087617	564843841	2	2	negative
263304719471087617	564843841	3	19	objective
261954070938537985	228190529	0	2	objective
261954070938537985	228190529	3	3	positive
261954070938537985	228190529	4	7	objective
261954070938537985	228190529	8	8	positive
261954070938537985	228190529	9	22	objective
261954070938537985	228190529	23	23	positive
260940907082293248	321674291	0	5	objective
260940907082293248	321674291	6	6	neutral
260940907082293248	321674291	7	7	objective
260940907082293248	321674291	8	8	positive
260940907082293248	321674291	9	13	objective
260940907082293248	321674291	14	14	neutral
260940907082293248	321674291	15	15	objective
263956867787673600	183985016	0	0	positive
263956867787673600	183985016	1	8	objective
263956867787673600	183985016	9	9	positive
263956867787673600	183985016	10	18	objective
263975113404342273	616166780	0	20	objective
257343699460173824	10115042	0	1	objective
257343699460173824	10115042	2	2	neutral
257343699460173824	10115042	3	8	objective
257343699460173824	10115042	9	12	positive
257343699460173824	10115042	13	15	objective
257343699460173824	10115042	16	17	positive
257343699460173824	10115042	18	22	objective
257343699460173824	10115042	23	25	positive
264125591337463808	348691527	0	21	objective
264125591337463808	348691527	22	26	negative
262350309781823488	540496404	0	20	objective
264259830590603264	183011479	0	2	objective
264259830590603264	183011479	3	4	negative
264259830590603264	183011479	5	24	objective
257239661976625152	64642600	0	17	objective
263868270006906880	834524701	0	14	objective
264223934403211264	117204603	0	15	objective
264041764460036096	198706982	0	4	objective
264041764460036096	198706982	5	7	positive
264041764460036096	198706982	8	11	objective
264041764460036096	198706982	12	13	positive
264041764460036096	198706982	14	15	objective
264041764460036096	198706982	16	17	positive
264041764460036096	198706982	18	18	objective
264102295392882689	43577828	0	21	objective
264102295392882689	43577828	22	27	positive
264173636141850626	827129677	0	3	objective
264173636141850626	827129677	4	5	positive
264173636141850626	827129677	6	9	objective
264173636141850626	827129677	10	13	positive
264173636141850626	827129677	14	19	objective
